text,direction,pred_direction,pred_direction_cn,confidence,prob_left,prob_right,prob_bidirectional,route_final,p_nonleft
因为账号被盗，他立刻联系了客服,left,left,正向因果(A→B),0.9995,0.9995,0.0004542,2.337e-05,forward,0.0004775524139404297
由于租金上涨，他决定搬家,left,left,正向因果(A→B),0.9854,0.9854,0.0135,0.001039,forward,0.01453399658203125
因为考试临近，图书馆里座无虚席,left,right,反向因果(A←B),0.989,0.011154,0.989,0.0002129,bidir,0.98876953125
由于政策扶持，这个行业发展迅速,left,left,正向因果(A→B),0.7344,0.7344,0.2499,0.0155,forward,0.265380859375
因为他态度诚恳，对方原谅了他的过失,left,left,正向因果(A→B),0.9224,0.9224,0.07605,0.001382,forward,0.07745361328125
因为这幅画是仿制品，所以它没什么收藏价值,left,left,正向因果(A→B),0.998,0.998,0.002033,9.894e-05,forward,0.002132415771484375
由于缺乏锻炼，他的体力大不如前,left,bidirectional,双向因果(A↔B),0.5522,0.2727,0.175,0.5522,bidir,0.7275390625
因为预订已满，我们只好换了家餐厅,left,left,正向因果(A→B),0.9995,0.9995,0.0004256,2.223e-05,forward,0.0004477500915527344
由于时差关系，会议安排在了晚上,left,left,正向因果(A→B),0.967,0.967,0.03122,0.001952,forward,0.033172607421875
因为光线不足，拍出的照片很模糊,left,left,正向因果(A→B),0.9717,0.9717,0.02705,0.001092,forward,0.0281524658203125
因为有内推，他很快就获得了面试机会,left,right,反向因果(A←B),0.62,0.375,0.62,0.00495,bidir,0.625
由于操作失误，实验数据全部丢失了,left,left,正向因果(A→B),0.9873,0.9873,0.01225,0.000682,forward,0.01293182373046875
因为明天要早起，他今晚不打算熬夜了,left,left,正向因果(A→B),0.986,0.986,0.013145,0.001011,forward,0.01416015625
由于新版本不兼容，很多老用户无法更新,left,right,反向因果(A←B),0.8203,0.1482,0.8203,0.03137,bidir,0.8515625
因为他吃了海鲜，导致了皮肤过敏,left,right,反向因果(A←B),0.9287,0.0703,0.9287,0.0008373,bidir,0.9296875
因为发现了新的线索，案件得以重启调查,left,left,正向因果(A→B),0.642,0.642,0.3547,0.003258,forward,0.35791015625
由于全球变暖，极端天气事件频发,left,left,正向因果(A→B),0.964,0.964,0.0319,0.004047,forward,0.03594970703125
因为错过了报名时间，他没能参加这次比赛,left,right,反向因果(A←B),0.975,0.02425,0.975,0.0004778,bidir,0.9755859375
因为数据库索引缺失，查询变得非常缓慢,left,right,反向因果(A←B),0.6313,0.3665,0.6313,0.00225,bidir,0.6337890625
由于文化差异，双方在谈判中产生了误解,left,left,正向因果(A→B),0.6465,0.6465,0.3455,0.008026,forward,0.353515625
因为是假期最后一天，高速公路堵得水泄不通,left,right,反向因果(A←B),0.995,0.005013,0.995,5.835e-05,bidir,0.9951171875
由于缺乏维护，那台设备已经无法使用了,left,right,反向因果(A←B),0.8105,0.187,0.8105,0.002644,bidir,0.81298828125
因为他精通多国语言，所以被派往海外工作,left,left,正向因果(A→B),0.855,0.855,0.1401,0.004917,forward,0.14501953125
因为电池老化，他的旧手机待机时间很短,left,right,反向因果(A←B),0.9634,0.03616,0.9634,0.0005264,bidir,0.9638671875
由于明星代言，那款产品销量大增,left,right,反向因果(A←B),0.883,0.11273,0.883,0.004463,bidir,0.88720703125
因为听不懂方言，他闹了不少笑话,left,right,反向因果(A←B),0.705,0.2932,0.705,0.001421,bidir,0.70654296875
因为公司搬迁，他上下班通勤时间增加了一倍,left,right,反向因果(A←B),0.9,0.0945,0.9,0.00549,bidir,0.9052734375
由于证据不足，法庭宣布他无罪,left,left,正向因果(A→B),0.951,0.951,0.04623,0.002579,forward,0.048828125
因为航班延误，他不得不在机场过夜,left,right,反向因果(A←B),0.5938,0.405,0.5938,0.00123,bidir,0.59521484375
因为他总是乐于助人，所以在同事中人缘很好,left,right,反向因果(A←B),0.7974,0.152,0.7974,0.05066,bidir,0.84814453125
由于服务器遭受攻击，网站暂时关闭了,left,left,正向因果(A→B),0.9814,0.9814,0.01802,0.000431,forward,0.0184478759765625
因为有优惠券，这顿饭吃得很划算,left,right,反向因果(A←B),0.965,0.03476,0.965,0.0004222,bidir,0.96533203125
因为他刚做完手术，医生嘱咐他要多休息,left,left,正向因果(A→B),0.5923,0.5923,0.3984,0.00933,forward,0.40771484375
由于受到台风影响，沿海地区发布了预警,left,right,反向因果(A←B),0.8604,0.1342,0.8604,0.00566,bidir,0.8662109375
因为内存不足，电脑运行非常卡顿,left,right,反向因果(A←B),0.5884,0.3982,0.5884,0.01321,bidir,0.6015625
因为他的坚持，这个项目最终起死回生,left,right,反向因果(A←B),0.9536,0.04483,0.9536,0.001512,bidir,0.955078125
由于疫情管控，展会被迫推迟了,left,left,正向因果(A→B),0.5513,0.5513,0.4434,0.005222,forward,0.448486328125
因为不熟悉路况，他多开了一个小时,left,right,反向因果(A←B),0.9756,0.02423,0.9756,0.000347,bidir,0.97607421875
因为剧本写得好，这部电影获得了高票房,left,left,正向因果(A→B),0.945,0.945,0.05334,0.001893,forward,0.05523681640625
由于通货膨胀，物价持续上涨,left,left,正向因果(A→B),0.4521,0.4521,0.349,0.1985,forward,0.5478515625
因为他救了那个落水儿童，他被授予了见义勇为奖章,left,left,正向因果(A→B),0.9453,0.9453,0.0541,0.000638,forward,0.05474853515625
由于缺乏资金，研究被迫中止,left,left,正向因果(A→B),0.521,0.521,0.4648,0.01387,forward,0.478759765625
因为下周有重要会议，他这个周末需要加班,left,right,反向因果(A←B),0.8364,0.1608,0.8364,0.002834,bidir,0.83935546875
因为他总是迟到，所以被扣了工资,left,right,反向因果(A←B),0.8354,0.1632,0.8354,0.001316,bidir,0.8369140625
由于模型训练不足，预测的准确率很低,left,right,反向因果(A←B),0.5967,0.3464,0.5967,0.05682,bidir,0.6533203125
因为是敏感肌，她对化妆品很挑剔,left,left,正向因果(A→B),0.7275,0.7275,0.2081,0.0643,forward,0.2724609375
因为密码输入错误三次，账户被锁定了,left,left,正向因果(A→B),0.9956,0.9956,0.00432,9.99e-05,forward,0.00441741943359375
由于经验丰富，他很快就解决了这个难题,left,left,正向因果(A→B),0.6104,0.6104,0.3787,0.01069,forward,0.389404296875
因为是下班高峰期，地铁里非常拥挤,left,right,反向因果(A←B),0.989,0.01099,0.989,0.0002201,bidir,0.98876953125
因为担心孩子，她一夜没睡好,left,left,正向因果(A→B),0.959,0.959,0.0371,0.004124,forward,0.041229248046875
由于合同到期，双方停止了合作,left,left,正向因果(A→B),0.979,0.979,0.02022,0.000559,forward,0.020782470703125
因为他忘了关火，导致了火灾,left,right,反向因果(A←B),0.6323,0.357,0.6323,0.01069,bidir,0.64306640625
因为口碑发酵，这家小店突然火了,left,right,反向因果(A←B),0.993,0.006348,0.993,0.0003254,bidir,0.99365234375
由于供电局抢修，小区停电了半天,left,left,正向因果(A→B),0.994,0.994,0.005707,0.0001838,forward,0.005889892578125
因为他不喜欢这个专业，所以他决定转系,left,right,反向因果(A←B),0.7554,0.2205,0.7554,0.0244,bidir,0.77978515625
因为有浓雾，部分高速公路关闭了,left,left,正向因果(A→B),0.9985,0.9985,0.001279,7.594e-05,forward,0.0013551712036132812
由于采用了新技术，生产效率提高了很多,left,right,反向因果(A←B),0.701,0.2908,0.701,0.00816,bidir,0.70947265625
因为害怕打针，那个孩子哭个不停,left,right,反向因果(A←B),0.961,0.03854,0.961,0.0005336,bidir,0.96142578125
因为他的推荐，我买了这本书,left,left,正向因果(A→B),0.803,0.803,0.1932,0.003597,forward,0.19677734375
由于管理混乱，那家公司很快就倒闭了,left,right,反向因果(A←B),0.809,0.1876,0.809,0.003086,bidir,0.81201171875
因为是匿名评审，所以结果比较公正,left,right,反向因果(A←B),0.8203,0.1783,0.8203,0.001532,bidir,0.82177734375
因为那条路在施工，他只好绕道行驶,left,right,反向因果(A←B),0.9087,0.0898,0.9087,0.001427,bidir,0.91015625
由于版权问题，那部剧被下架了,left,right,反向因果(A←B),0.9424,0.0547,0.9424,0.002726,bidir,0.9453125
因为他一直坚持健身，所以身材保持得很好,left,right,反向因果(A←B),0.7876,0.1876,0.7876,0.02483,bidir,0.8125
因为是周末，游乐园里到处都是人,left,right,反向因果(A←B),0.996,0.003906,0.996,2.15e-05,bidir,0.99609375
由于程序设计有缺陷，系统存在安全漏洞,left,left,正向因果(A→B),0.503,0.503,0.4785,0.0183,forward,0.496826171875
因为太久没练习，他的吉他弹得有些生疏了,left,right,反向因果(A←B),0.987,0.01286,0.987,0.0002933,bidir,0.9873046875
因为他提供了不在场证明，所以洗清了嫌疑,left,left,正向因果(A→B),0.965,0.965,0.03467,0.0004773,forward,0.03515625
由于供水管道破裂，附近居民区停水了,left,left,正向因果(A→B),0.9937,0.9937,0.00621,0.0002115,forward,0.006420135498046875
因为他不会游泳，所以他不敢下水,left,left,正向因果(A→B),0.995,0.995,0.004646,0.000228,forward,0.00487518310546875
因为是限量版，那双鞋一发售就被抢光了,left,right,反向因果(A←B),0.5527,0.4436,0.5527,0.003628,bidir,0.55615234375
由于竞争激烈，公司被迫降低了产品价格,left,left,正向因果(A→B),0.693,0.693,0.267,0.03986,forward,0.306884765625
因为下雨路滑，发生了一起交通事故,left,right,反向因果(A←B),0.9907,0.00911,0.9907,0.0001705,bidir,0.99072265625
因为他昨晚没睡好，所以今天精神不佳,left,right,反向因果(A←B),0.614,0.3801,0.614,0.006218,bidir,0.6201171875
由于报名人数过多，主办方决定增加场次,left,left,正向因果(A→B),0.9775,0.9775,0.02147,0.000864,forward,0.0223388671875
因为他刚搬来，对周围环境还不熟悉,left,left,正向因果(A→B),0.8403,0.8403,0.1562,0.003347,forward,0.1595458984375
因为这个软件不兼容，他无法打开那个文件,left,left,正向因果(A→B),0.73,0.73,0.2515,0.01836,forward,0.269775390625
由于缺乏沟通，团队内部产生了矛盾,left,right,反向因果(A←B),0.712,0.237,0.712,0.05112,bidir,0.76318359375
因为他喝了酒，所以不能开车,left,left,正向因果(A→B),0.971,0.971,0.02841,0.0003743,forward,0.0287933349609375
因为是公共假期，所有银行都关门了,left,right,反向因果(A←B),0.951,0.0479,0.951,0.001131,bidir,0.9521484375
由于设备故障，直播突然中断了,left,right,反向因果(A←B),0.903,0.0957,0.903,0.001669,bidir,0.904296875
因为他有恐高症，所以不敢坐过山车,left,left,正向因果(A→B),0.905,0.905,0.09265,0.002586,forward,0.09521484375
因为是新开的店，所以有很大的折扣,left,left,正向因果(A→B),0.9976,0.9976,0.002098,0.0001754,forward,0.0022735595703125
由于数据量太大，分析报告推迟提交了,left,left,正向因果(A→B),0.9194,0.9194,0.07745,0.003328,forward,0.080810546875
因为他不喜欢社交，所以很少参加聚会,left,right,反向因果(A←B),0.901,0.09735,0.901,0.001577,bidir,0.90234375
因为是冬天，天黑得很早,left,right,反向因果(A←B),0.697,0.2515,0.697,0.0518,bidir,0.74853515625
由于检疫要求，那批货物被扣留了,left,right,反向因果(A←B),0.889,0.1096,0.889,0.001175,bidir,0.89013671875
因为他忘了设置闹钟，结果错过了火车,left,left,正向因果(A→B),0.538,0.538,0.46,0.002094,forward,0.462158203125
因为是第一次演讲，他显得有些紧张,left,right,反向因果(A←B),0.9404,0.05588,0.9404,0.003569,bidir,0.94384765625
由于罢工，公交系统陷入了瘫痪,left,left,正向因果(A→B),0.9604,0.9604,0.03824,0.00108,forward,0.039306640625
因为他吃素，所以我们特意点了素菜,left,left,正向因果(A→B),0.995,0.995,0.00484,0.0001705,forward,0.00501251220703125
因为是内部消息，所以请不要外传,left,left,正向因果(A→B),0.9985,0.9985,0.001581,9.01e-05,forward,0.00167083740234375
由于资源有限，我们必须优先保证核心功能,left,right,反向因果(A←B),0.8794,0.1084,0.8794,0.0121,bidir,0.8916015625
因为他说话太直接，所以容易得罪人,left,right,反向因果(A←B),0.571,0.3757,0.571,0.0535,bidir,0.62451171875
因为是敏感信息，文件被加密处理了,left,left,正向因果(A→B),0.9595,0.9595,0.03912,0.001584,forward,0.04071044921875
由于遇到了技术瓶颈，项目进度缓慢,left,bidirectional,双向因果(A↔B),0.56,0.2805,0.1594,0.56,bidir,0.7197265625
因为他忘记了密码，所以无法登录系统,left,left,正向因果(A→B),0.991,0.991,0.008804,0.0001729,forward,0.00897979736328125
"Details: ""因为他忘记了密码，所以无法登录系统""",left,left,正向因果(A→B),0.984,0.984,0.01599,0.0002216,forward,0.0162200927734375
因为是高峰时段，打车非常困难,left,right,反向因果(A←B),0.99,0.009636,0.99,0.00010455,bidir,0.990234375
由于风力太大，无人机无法起飞,left,left,正向因果(A→B),0.989,0.989,0.01082,0.0004292,forward,0.0112457275390625
因为他有相关工作经验，所以被优先录取了,left,left,正向因果(A→B),0.9956,0.9956,0.004196,0.0001647,forward,0.004360198974609375
因为是旧型号，这款手机已经停产了,left,right,反向因果(A←B),0.992,0.00765,0.992,0.0001093,bidir,0.9921875
由于客户反响平平，公司决定停止该产品线,left,left,正向因果(A→B),0.987,0.987,0.01221,0.0007596,forward,0.012969970703125
因为他不会用那个软件，所以求助于我,left,left,正向因果(A→B),0.9956,0.9956,0.00416,0.0001606,forward,0.004322052001953125
因为是雨季，这个地区经常发洪水,left,right,反向因果(A←B),0.9243,0.07336,0.9243,0.002094,bidir,0.92626953125
由于API接口变更，旧的客户端失效了,left,left,正向因果(A→B),0.5293,0.5293,0.457,0.01366,forward,0.470703125
因为他不懂规则，所以在比赛中犯规了,left,left,正向因果(A→B),0.6074,0.6074,0.3838,0.00864,forward,0.392333984375
因为是最后一场比赛，所以门票特别抢手,left,left,正向因果(A→B),0.979,0.979,0.01836,0.002514,forward,0.0208740234375
由于缺乏监管，市场上出现了很多假货,left,right,反向因果(A←B),0.485,0.483,0.485,0.032,bidir,0.51708984375
因为他认错了人，所以场面一度很尴尬,left,left,正向因果(A→B),0.978,0.978,0.02136,0.0005484,forward,0.02191162109375
因为是机密文件，所以需要权限才能查看,left,left,正向因果(A→B),0.9263,0.9263,0.0717,0.002157,forward,0.0738525390625
由于交通管制，车辆需要绕行,left,right,反向因果(A←B),0.4644,0.2903,0.4644,0.2452,bidir,0.70947265625
因为他没有及时回复邮件，所以错过了机会,left,left,正向因果(A→B),0.727,0.727,0.2686,0.00425,forward,0.272705078125
因为是测试版，所以系统还不太稳定,left,left,正向因果(A→B),0.998,0.998,0.001993,0.0001606,forward,0.0021533966064453125
由于消费者权益受损，该公司被起诉了,left,right,反向因果(A←B),0.842,0.155,0.842,0.002949,bidir,0.8447265625
因为他需要倒时差，所以提前几天到了,left,left,正向因果(A→B),0.6377,0.6377,0.36,0.002096,forward,0.3623046875
因为是手工制作，所以每件产品都不完全一样,left,left,正向因果(A→B),0.998,0.998,0.001987,0.0001451,forward,0.002132415771484375
由于后勤保障不力，导致了前线失利,left,right,反向因果(A←B),0.9272,0.0712,0.9272,0.00128,bidir,0.9287109375
因为他之前帮过我，所以我这次也得帮他,left,right,反向因果(A←B),0.9614,0.03568,0.9614,0.002659,bidir,0.9638671875
因为是第一次出国，他感到既兴奋又紧张,left,right,反向因果(A←B),0.4949,0.1741,0.4949,0.331,bidir,0.826171875
由于算法优化，搜索速度快了两倍,left,left,正向因果(A→B),0.922,0.922,0.0722,0.005985,forward,0.07818603515625
因为他害怕蜘蛛，所以不敢进那个储藏室,left,left,正向因果(A→B),0.9336,0.9336,0.06433,0.002264,forward,0.06658935546875
因为是违章建筑，那栋房子被拆除了,left,right,反向因果(A←B),0.9688,0.03061,0.9688,0.000462,bidir,0.96923828125
由于服务器迁移，网站在凌晨会中断服务,left,left,正向因果(A→B),0.9766,0.9766,0.02151,0.00171,forward,0.023223876953125
因为他患有花粉症，所以春天总戴着口罩,left,left,正向因果(A→B),0.8896,0.8896,0.1075,0.002922,forward,0.11041259765625
因为是旺季，酒店价格上涨了很多,left,left,正向因果(A→B),0.8813,0.8813,0.10345,0.01505,forward,0.1185302734375
由于人为失误，导致了严重的生产事故,left,left,正向因果(A→B),0.8022,0.8022,0.1935,0.00432,forward,0.19775390625
因为他没有护照，所以无法出境,left,left,正向因果(A→B),0.625,0.625,0.3616,0.01347,forward,0.375
因为是免费活动，所以吸引了很多人参加,left,left,正向因果(A→B),0.9956,0.9956,0.00397,0.0002775,forward,0.00424957275390625
由于地基不稳，那座塔倾斜了,left,right,反向因果(A←B),0.957,0.0425,0.957,0.0004237,bidir,0.95751953125
因为他一直在说谎，所以没人再相信他了,left,left,正向因果(A→B),0.859,0.859,0.14,0.001276,forward,0.1412353515625
因为是新手，他开车开得很慢,left,right,反向因果(A←B),0.948,0.05048,0.948,0.001287,bidir,0.94970703125
由于内存溢出，程序崩溃了,left,right,反向因果(A←B),0.584,0.4104,0.584,0.005802,bidir,0.58984375
因为他有糖尿病，所以需要控制饮食,left,left,正向因果(A→B),0.6553,0.6553,0.3357,0.008865,forward,0.344482421875
因为是重要客户，老板亲自接待了他,left,right,反向因果(A←B),0.9937,0.006077,0.9937,0.0002768,bidir,0.994140625
由于缺乏锻炼，他爬了几层楼就气喘吁吁,left,left,正向因果(A→B),0.696,0.696,0.2988,0.005302,forward,0.30419921875
因为他把咖啡洒在了电脑上，电脑坏了,left,left,正向因果(A→B),0.977,0.977,0.02267,0.000415,forward,0.0230865478515625
因为是家属区，所以晚上很安静,left,left,正向因果(A→B),0.9985,0.9985,0.001435,0.0001171,forward,0.001552581787109375
由于成本上升，公司不得不提高售价,left,right,反向因果(A←B),0.7476,0.2407,0.7476,0.01176,bidir,0.75927734375
因为他没带伞，所以被淋成了落汤鸡,left,right,反向因果(A←B),0.7144,0.283,0.7144,0.002592,bidir,0.716796875
因为是保密项目，他不能透露任何细节,left,right,反向因果(A←B),0.99,0.00974,0.99,0.0001334,bidir,0.990234375
由于翻译错误，造成了重大的外交误会,left,left,正向因果(A→B),0.9688,0.9688,0.03023,0.001076,forward,0.03131103515625
因为他想学一门新技能，所以报名了编程课,left,left,正向因果(A→B),0.9956,0.9956,0.00438,0.000143,forward,0.00452423095703125
因为是明星同款，这件衣服卖断货了,left,right,反向因果(A←B),0.968,0.03168,0.968,0.000504,bidir,0.96826171875
由于系统存在漏洞，黑客轻易入侵了,left,left,正向因果(A→B),0.9756,0.9756,0.02327,0.001265,forward,0.0245361328125
因为他不懂装懂，结果把事情搞砸了,left,left,正向因果(A→B),0.5454,0.5454,0.452,0.002604,forward,0.45458984375
因为是老房子，所以隔音效果很差,left,left,正向因果(A→B),0.9985,0.9985,0.001489,0.0001374,forward,0.0016260147094726562
由于供不应求，显卡价格一路飙升,left,right,反向因果(A←B),0.8765,0.1204,0.8765,0.003296,bidir,0.8798828125
因为他错过了末班车，只好打车回家,left,right,反向因果(A←B),0.866,0.1333,0.866,0.00066,bidir,0.86669921875
因为是工作日，所以博物馆里人很少,left,left,正向因果(A→B),0.998,0.998,0.001889,0.0001937,forward,0.00208282470703125
由于缺乏资金支持，那个科研项目停止了,left,left,正向因果(A→B),0.9253,0.9253,0.07324,0.001438,forward,0.07470703125
因为他违反了规定，所以受到了处罚,left,left,正向因果(A→B),0.719,0.719,0.278,0.002794,forward,0.28076171875
因为是必修课，所以他不得不去上,left,left,正向因果(A→B),0.9985,0.9985,0.00118,5.555e-05,forward,0.0012350082397460938
由于流程繁琐，办事效率很低,left,right,反向因果(A←B),0.5195,0.3037,0.5195,0.1768,bidir,0.6962890625
因为他设置了静音，所以没听到电话,left,right,反向因果(A←B),0.6357,0.362,0.6357,0.002058,bidir,0.6376953125
因为是偏远地区，所以快递要多花几天,left,left,正向因果(A→B),0.9985,0.9985,0.001345,7.8e-05,forward,0.001422882080078125
由于意见不合，团队内部发生了争吵,left,right,反向因果(A←B),0.8633,0.1139,0.8633,0.02309,bidir,0.88623046875
因为他想给女友一个惊喜，所以偷偷准备了礼物,left,left,正向因果(A→B),0.9854,0.9854,0.0145,0.0003505,forward,0.01485443115234375
因为是空腹，所以他不能吃药,left,left,正向因果(A→B),0.998,0.998,0.001637,0.0001549,forward,0.0017919540405273438
由于维护不当，机器的寿命缩短了,left,right,反向因果(A←B),0.7944,0.1958,0.7944,0.00959,bidir,0.80419921875
因为他刚睡醒，所以声音听起来很沙哑,left,left,正向因果(A→B),0.9946,0.9946,0.005016,0.0001887,forward,0.0052032470703125
因为是会员制，所以非会员不能入内,left,left,正向因果(A→B),0.9883,0.9883,0.011505,0.0003102,forward,0.01181793212890625
由于投资失败，他损失惨重,left,left,正向因果(A→B),0.527,0.527,0.456,0.0169,forward,0.472900390625
因为他跑得太快，所以摔倒了,left,left,正向因果(A→B),0.991,0.991,0.00858,0.0002878,forward,0.00887298583984375
因为是单行道，所以你不能掉头,left,left,正向因果(A→B),0.999,0.999,0.0008574,5.14e-05,forward,0.0009088516235351562
由于气压过低，登山队决定停止前进,left,left,正向因果(A→B),0.9873,0.9873,0.01186,0.0007477,forward,0.01261138916015625
因为他不会做饭，所以天天叫外卖,left,left,正向因果(A→B),0.993,0.993,0.00647,0.0002102,forward,0.006679534912109375
现在太困了，因为昨晚熬夜看书,right,right,反向因果(A←B),0.974,0.02522,0.974,0.0004067,bidir,0.974609375
所有请求都超时了，因为服务器过载,right,left,正向因果(A→B),0.768,0.768,0.2297,0.002327,forward,0.2320556640625
航班被取消了，因为天气恶劣,right,right,反向因果(A←B),0.6714,0.327,0.6714,0.001718,bidir,0.67333984375
解析任务失败了，原因是数据格式不匹配,right,right,反向因果(A←B),0.9985,0.001592,0.9985,1.305e-05,bidir,0.99853515625
我们的系统也宕机了，是由于上游服务中断,right,right,反向因果(A←B),0.989,0.010284,0.989,0.001012,bidir,0.98974609375
面试非常顺利，因为他准备得非常充分,right,right,反向因果(A←B),0.751,0.2391,0.751,0.00983,bidir,0.7607421875
这个功能暂时下线了，原因是规则进行了调整,right,right,反向因果(A←B),0.988,0.01198,0.988,0.0002453,bidir,0.98828125
开发计划被打乱了，因为需求突然变更,right,right,反向因果(A←B),0.988,0.01132,0.988,0.001078,bidir,0.98876953125
他今天上班迟到了，因为堵车,right,right,反向因果(A←B),0.971,0.0283,0.971,0.0002599,bidir,0.9716796875
那个项目被搁置了，是由于预算削减,right,right,反向因果(A←B),0.9873,0.01263,0.9873,0.0001552,bidir,0.9873046875
今天的室外活动取消了，因为下大雨,right,right,反向因果(A←B),0.921,0.07855,0.921,0.000619,bidir,0.92138671875
该指控无法成立，由于缺乏关键证据,right,right,反向因果(A←B),0.976,0.02406,0.976,9.62e-05,bidir,0.97607421875
他得到了老板的表扬，因为他工作努力,right,right,反向因果(A←B),0.981,0.01872,0.981,0.000296,bidir,0.9814453125
部分功能暂时不可用，由于系统正在升级,right,right,反向因果(A←B),0.9673,0.03217,0.9673,0.0005107,bidir,0.9677734375
学校决定开始线上授课，因为病毒传播,right,left,正向因果(A→B),0.9917,0.9917,0.00824,0.000235,forward,0.00847625732421875
他的身体亮起了红灯，因为连续加班,right,right,反向因果(A←B),0.956,0.04324,0.956,0.000519,bidir,0.95654296875
公司调整了生产计划，由于市场需求下降,right,right,反向因果(A←B),0.7754,0.218,0.7754,0.006405,bidir,0.78173828125
他被锁在了门外，因为忘记带钥匙,right,right,反向因果(A←B),0.5923,0.4065,0.5923,0.0014,bidir,0.59375
导致了内存泄漏，是因为代码存在bug,right,right,反向因果(A←B),0.996,0.004032,0.996,9.13e-05,bidir,0.99609375
工厂的生产线停工了，由于材料短缺,right,left,正向因果(A→B),0.85,0.85,0.147,0.003048,forward,0.1500244140625
产品经理连夜修改了方案，因为客户投诉,right,right,反向因果(A←B),0.982,0.01794,0.982,0.000128,bidir,0.98193359375
通话突然中断了，由于信号不好,right,right,反向因果(A←B),0.98,0.01913,0.98,0.000672,bidir,0.98046875
商场里人特别多，因为今天放假,right,right,反向因果(A←B),0.9814,0.01804,0.9814,0.0003695,bidir,0.98193359375
他立刻联系了客服，因为账号被盗,right,left,正向因果(A→B),0.999,0.999,0.000804,4.727e-05,forward,0.0008511543273925781
他决定搬家，由于租金上涨,right,left,正向因果(A→B),0.945,0.945,0.05292,0.002249,forward,0.05517578125
图书馆里座无虚席，因为考试临近,right,right,反向因果(A←B),0.9863,0.01336,0.9863,0.0002706,bidir,0.98681640625
这个行业发展迅速，由于政策扶持,right,right,反向因果(A←B),0.7256,0.239,0.7256,0.03555,bidir,0.76123046875
对方原谅了他的过失，因为他态度诚恳,right,right,反向因果(A←B),0.7197,0.278,0.7197,0.002264,bidir,0.72216796875
它没什么收藏价值，因为这幅画是仿制品,right,right,反向因果(A←B),0.9893,0.010124,0.9893,0.0005755,bidir,0.98974609375
