"text","direction"
"全量复制可靠传输量大","bidirectional"
"双向复制灵活冲突多","bidirectional"
"单向复制简单灵活性差","bidirectional"
"级联复制节省上游压力延迟累加","bidirectional"
"并行复制快协调难","bidirectional"
"串行复制有序慢","bidirectional"
"同步备份安全影响性能","bidirectional"
"异步备份快数据可能丢","bidirectional"
"全量备份完整耗时长","bidirectional"
"增量备份快恢复麻烦","bidirectional"
"差异备份折中策略复杂","bidirectional"
